No,Peak Date/Time,DST Peak (nT),Btot Peak(nT),Bz Peak(nT),Flow Speed Peak (km/s),icme onsett (yyyy-mm-dd hh:mm),CME Onsett (yyyy-mm-dd hh:mm),Travel time (hours),Cme speed (km/s),MPA (Deg),AW (Deg),ACTIVE REGION,solar coord:,Flare,Uncertiainty,
104,2015-08-27 21:00,-103,13.04,-12.81,345.8,2015-08-25 21:30,2015-08-23 22:36,46.9,55,19,102,AR 12403,S14W05,C2.2,,
105,2015-09-09 13:00,-105,9.66,-9.24,412.2,2015-09-07 13:00,2015-09-04 23:12,61.8,337,118,109,Quiet Region,N13E39,NA,,
106,2015-10-07 23:00,-130,22.47,-19.51,840.9,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
107,2015-12-20 23:00,-166,19.67,-18.47,418.9,2015-12-19 16:17,2015-12-16 09:36,78.7,579,334,360,AR 12468,S13W04,C6.6,,
108,2016-01-01 01:00,-116,17.37,-16.48,502.5,2015-12-31 1:05,2015-12-28 12:12,60.9,1212,163,360,AR 12473,S23W11,M1.8,,
109,2016-01-20 17:00,-101,16.05,-13.87,381,2016-01-19 10:15,2016-01-14 23:24,106.9,191,234,360,Quiet Region,S22W11,NA,,
110,2016-10-13 18:00,-110,22.16,-19.9,403.9,2016-10-12 22:15,2016-10-09 02:24,91.9,179,38,360,AR 12598,N14W25,NA,,STEALTH
111,2017-05-28 08:00,-146,18.43,-17.56,371.2,2017-05-27 15:45,2017-05-23 05:00,106.8,259,281,243,AR 12656,N12W13,NA,,STEALTH
112,2017-09-08 02:00,-148,32.64,-31.51,679.7,2017-09-07 19:30,2017-09-06 12:24,31.1,1571,201,360,AR 12673,S08W33,X9.3,,FLARE EFFECT
113,2018-08-26 08:00,-176,17.61,-15.8,407.8,2018-08-25 8:14,2018-08-20 21:24,106.8,126,266,120,Quiet Region,N20W10,NA,,STEALTH
114,2021-11-04 14:00,-105,14.79,-5.7,835.7,2021-11-03 20:27,2021-11-02 02:48,41.7,1473,28,360,AR 12891,N19E04,M1.7,,
115,2023-02-27 13:00,-132,17.07,-15.23,856.3,2023-02-26 19:26,2023-02-25 19:24,24,1170,284,360,AR 13229,N26W43,M6.3,,
116,2023-03-24 03:00,-163,20.74,-12.93,452.3,2023-03-23 7:05,2023-03-19 20:39,82.4,346,-,360,Quiet Region,N00W00,NA,,
117,2023-04-24 06:00,-213,33.89,-26.95,558.8,2023-04-23 7:30,2023-04-21 18:12,37.3,1284,180,360,AR 13283,S22W11,M1.7,,
118,2023-11-05 20:00,-163,23.08,-18.92,476.7,2023-11-04 13:30,2023-11-03 05:24,32.1,693,12,226,Quiet Region,N26W26,C3.3,,
119,2023-12-01 14:00,-108,23.87,-21.46,524.1,2023-12-01 0:26,2023-11-28 20:12,52.2,741,285,360,AR 13500,S16W00,M9.8,,
120,2024-03-03 20:00,-112,16.23,-13.95,340.3,2024-03-03 10:27,2024-02-28 17:36,88.9,765,144,288,AR13590,N18W52,M1.5,,
121,2024-03-24 21:00,-128,11.28,-2.97,832,2024-03-24 14:40,2024-03-23 01:25,37.3,1470,13,360,AR13614,N27E08,X1.1,,
122,2024-04-19 20:00,-117,16.74,-16.06,446,2024-04-19 4:44,2024-04-16 5:12,71.5,367,288,163,AR13636,S13E18,NA,,
123,2024-05-11 03:00,-406,69.84,-54.52,739.8,2024-05-10 17:04,2024-05-08 12:24,52.7,677,209,360,AR13664,S18W17,X1.0,,
124,2024-06-28 13:00,-107,30.21,-27.47,404.5,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
125,2024-08-04 18:00,-100,15.82,-14.97,387.3,2024-08-03 23:31,2024-08-01 7:24,64.1,1024,278,360,AR13768,S16W74,M8.2,,
126,2024-08-12 17:00,-188,18.1,-17,533.2,2024-08-11 13:28,2024-08-08 19:48,65.7,789,220,360,AR13777,S09W20,X1.3,,
127,2024-09-12 15:00,-121,21.56,-14.41,515.7,2024-09-12 3:48,2024-09-10 00:24,51.4,643,359,360,AR13814,N15E10,M1.2,,
128,2024-09-17 9:00,-121,16.08,-8.95,561.9,2024-09-16 23:26,2024-09-14 15:36,55.8,2366,95,360,AR13825,S15E56,X4.5,,
129,2024-10-08 08:00,-148,15.35,-12.99,418.3,2024-10-06 7:40,2024-10-04 05:12,50.5,497,144,185,AR13842,S16W17,M4.0,,
130,2024-10-11 02:00,-333,46.48,-46.28,632.8,2024-10-10 15:17,2024-10-09 02:12,37.1,1435,306,360,AR13848,N13W13,X1.8,,
131,2024-11-09 13:00,-101,13.94,-11.64,399.6,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
132,2025-01-01 17:00,-212,24.87,-22.52,487.9,2024-12-31 16:35,2024-12-29 06:12,58.4,764,160,360,AR13939,S17E33,M3.5,,
133,2025-04-16 18:00,-138,17.16,-16.59,489.7,2025-04-15 16:51,2025-04-13 06:36,58.25,529,169,360,Quiet Region,S22W07,NA,,
134,2025-06-01 14:00,-119,16.83,-6.56,1064.6,2025-06-01 5:20,2025-05-31 0:12,29.1,1752,330,360,AR14100,N14E10,M8.1,,
135,2025-06-13 21:00,-101,12.45,-9.32,410,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
136,2025-09-30 8:00,-112,16.5,-14.5,398,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
137,2025-11-06 7:00,-129,15.5,-14,438,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
138,2025-11-12 5:00,-231,48,-32,510,2025-11-11 23:30,2025-11-10 9:36,37.9,1040,,,AR 14274,N20W15,X1.2,,
139,2025-11-13 8:00,-168,12,-5,870,2025-11-12 23:00,2025-11-11 10:00,37,1460,,,AR 14274,N21W27,X5.1,,
